"","Mau_duration","Community","log","rFq_morph","rFq_action","SigID","Gesture_actionID","MorphID","GoalID"
"156",0.476,"Waibira",-0.742337424750717,0.023462783171521,0.029126213592233,"ID_12","G_action_25","Morph_43","Goal_17"
"157",0.395,"Waibira",-0.928869514081015,0.023462783171521,0.029126213592233,"ID_12","G_action_25","Morph_43","Goal_17"
"158",0.478,"Waibira",-0.738144546490681,0.023462783171521,0.029126213592233,"ID_12","G_action_25","Morph_43","Goal_17"
"159",0.435,"Waibira",-0.832409247893453,0.0453074433656958,0.0477346278317152,"ID_12","G_action_16","Morph_45","Goal_17"
"160",0.598,"Waibira",-0.514164525031505,0.0453074433656958,0.0477346278317152,"ID_12","G_action_16","Morph_45","Goal_17"
"161",1.435,"Waibira",0.361164849211584,0.0444983818770227,0.210355987055016,"ID_12","G_action_1","Morph_23","Goal_17"
"162",0.504,"Waibira",-0.685179010910768,0.0453074433656958,0.0477346278317152,"ID_12","G_action_16","Morph_45","Goal_17"
"163",0.753,"Waibira",-0.283690051182243,0.0453074433656958,0.0477346278317152,"ID_12","G_action_16","Morph_45","Goal_17"
"164",0.475,"Waibira",-0.744440474947496,0.0161812297734628,0.0129449838187702,"ID_12","G_action_20","Morph_30","Goal_17"
"165",0.702,"Waibira",-0.353821874956326,0.00485436893203883,0.029126213592233,"ID_12","G_action_25","Morph_46","Goal_17"
"166",0.473,"Waibira",-0.748659890490204,0.0040453074433657,0.0477346278317152,"ID_12","G_action_16","Morph_39","Goal_17"
"167",0.635,"Waibira",-0.454130280089445,0.00566343042071197,0.00566343042071197,"ID_12","G_action_27","Morph_47","Goal_17"
"168",0.513,"Waibira",-0.667479433811368,0.00242718446601942,0.0477346278317152,"ID_12","G_action_16","Morph_48","Goal_17"
"169",0.635,"Waibira",-0.454130280089445,0.0161812297734628,0.0129449838187702,"ID_12","G_action_20","Morph_30","Goal_17"
"170",1.368,"Waibira",0.313349819200359,0.0444983818770227,0.210355987055016,"ID_12","G_action_1","Morph_23","Goal_17"
"171",0.84,"Waibira",-0.174353387144778,0.0040453074433657,0.0477346278317152,"ID_12","G_action_16","Morph_39","Goal_17"
"172",0.918,"Waibira",-0.0855578883616465,0.0444983818770227,0.210355987055016,"ID_12","G_action_1","Morph_23","Goal_17"
"173",0.751,"Waibira",-0.286349627218002,0.0453074433656958,0.0040453074433657,"ID_12","G_action_28","Morph_45","Goal_17"
"174",1.146,"Waibira",0.136277618292548,0.0428802588996764,0.210355987055016,"ID_12","G_action_1","Morph_2","Goal_17"
"175",1.983,"Waibira",0.684610849537659,0.0857605177993527,0.210355987055016,"ID_12","G_action_1","Morph_1","Goal_17"
"176",1.589,"Waibira",0.463104887554579,0.0857605177993527,0.210355987055016,"ID_12","G_action_1","Morph_1","Goal_17"
"177",0.234,"Waibira",-1.45243416362444,0.0453074433656958,0.0477346278317152,"ID_12","G_action_16","Morph_45","Goal_17"
"178",0.395,"Waibira",-0.928869514081015,0.023462783171521,0.029126213592233,"ID_12","G_action_25","Morph_43","Goal_17"
"179",0.716,"Waibira",-0.334075112021491,0.0453074433656958,0.0477346278317152,"ID_12","G_action_16","Morph_45","Goal_17"
"180",0.554,"Waibira",-0.590590592234853,0.0250809061488673,0.0307443365695793,"ID_12","G_action_7","Morph_11","Goal_10"
"181",0.555,"Waibira",-0.588787165235702,0.0453074433656958,0.0040453074433657,"ID_12","G_action_28","Morph_45","Goal_17"
"182",0.514,"Waibira",-0.665532013526972,0.0453074433656958,0.0477346278317152,"ID_12","G_action_16","Morph_45","Goal_17"
"183",0.758,"Waibira",-0.277071893339765,0.0453074433656958,0.0477346278317152,"ID_12","G_action_16","Morph_45","Goal_17"
"184",0.395,"Waibira",-0.928869514081015,0.00485436893203883,0.0477346278317152,"ID_12","G_action_16","Morph_29","Goal_17"
"185",0.439,"Waibira",-0.823255865906966,0.0453074433656958,0.0477346278317152,"ID_12","G_action_16","Morph_45","Goal_17"
"186",0.437,"Waibira",-0.827822083886547,0.0453074433656958,0.0477346278317152,"ID_12","G_action_16","Morph_45","Goal_17"
"187",0.438,"Waibira",-0.825536368605691,0.0453074433656958,0.0477346278317152,"ID_12","G_action_16","Morph_45","Goal_17"
"188",0.678,"Waibira",-0.388607991041741,0.0453074433656958,0.0477346278317152,"ID_12","G_action_16","Morph_45","Goal_17"
"189",1.507,"Waibira",0.410120919644358,0.0857605177993527,0.210355987055016,"ID_12","G_action_1","Morph_1","Goal_17"
"190",1.08,"Waibira",0.0769610411361284,0.00323624595469256,0.0202265372168285,"ID_12","G_action_19","Morph_49","Goal_17"
"191",1.72,"Waibira",0.542324290825362,0.0857605177993527,0.210355987055016,"ID_12","G_action_1","Morph_1","Goal_17"
"192",0.476,"Waibira",-0.742337424750717,0.023462783171521,0.029126213592233,"ID_12","G_action_25","Morph_43","Goal_17"
"193",0.558,"Waibira",-0.583396316600826,0.0453074433656958,0.0477346278317152,"ID_12","G_action_16","Morph_45","Goal_17"
"194",0.395,"Waibira",-0.928869514081015,0.0453074433656958,0.0477346278317152,"ID_12","G_action_16","Morph_45","Goal_17"
"195",0.477,"Waibira",-0.740238788093796,0.0453074433656958,0.0477346278317152,"ID_12","G_action_16","Morph_45","Goal_17"
"196",0.4,"Waibira",-0.916290731874155,0.023462783171521,0.029126213592233,"ID_12","G_action_25","Morph_43","Goal_17"
"197",1.498,"Waibira",0.404130885095028,0.0857605177993527,0.210355987055016,"ID_12","G_action_1","Morph_1","Goal_17"
"198",0.357,"Waibira",-1.0300194972025,0.023462783171521,0.029126213592233,"ID_12","G_action_25","Morph_43","Goal_17"
"199",0.439,"Waibira",-0.823255865906966,0.0453074433656958,0.0477346278317152,"ID_12","G_action_16","Morph_45","Goal_17"
"200",0.555,"Waibira",-0.588787165235702,0.0453074433656958,0.0477346278317152,"ID_12","G_action_16","Morph_45","Goal_17"
"201",0.599,"Waibira",-0.512493680866688,0.0169902912621359,0.0202265372168285,"ID_12","G_action_19","Morph_32","Goal_17"
"202",0.598,"Waibira",-0.514164525031505,0.0453074433656958,0.0477346278317152,"ID_12","G_action_16","Morph_45","Goal_17"
"203",0.199,"Waibira",-1.61445045425764,0.0453074433656958,0.0477346278317152,"ID_12","G_action_16","Morph_45","Goal_17"
"204",0.434,"Waibira",-0.834710744881732,0.0453074433656958,0.0477346278317152,"ID_12","G_action_16","Morph_45","Goal_17"
"205",0.791,"Waibira",-0.234457311214483,0.0453074433656958,0.0040453074433657,"ID_12","G_action_28","Morph_45","Goal_17"
"206",0.518,"Waibira",-0.657780036722654,0.023462783171521,0.029126213592233,"ID_12","G_action_25","Morph_43","Goal_17"
"207",0.435,"Waibira",-0.832409247893453,0.0453074433656958,0.0477346278317152,"ID_12","G_action_16","Morph_45","Goal_17"
"208",0.631,"Waibira",-0.460449416440924,0.0453074433656958,0.0477346278317152,"ID_12","G_action_16","Morph_45","Goal_17"
"209",0.509,"Waibira",-0.675307262431614,0.0169902912621359,0.0202265372168285,"ID_12","G_action_19","Morph_32","Goal_17"
"210",0.478,"Waibira",-0.738144546490681,0.0453074433656958,0.0477346278317152,"ID_12","G_action_16","Morph_45","Goal_17"
"211",0.237,"Waibira",-1.43969513784701,0.00566343042071197,0.00566343042071197,"ID_12","G_action_27","Morph_47","Goal_17"
"212",0.437,"Waibira",-0.827822083886547,0.0161812297734628,0.0129449838187702,"ID_12","G_action_20","Morph_30","Goal_17"
"213",0.551,"Waibira",-0.596020469829223,0.0453074433656958,0.0477346278317152,"ID_12","G_action_16","Morph_45","Goal_17"
"214",0.389,"Waibira",-0.944175935363691,0.0453074433656958,0.0477346278317152,"ID_12","G_action_16","Morph_45","Goal_17"
