,ClipName,Record.,Signaller,Recipient,SequenceID,SequenceSize,Gesture,P,Duration,Category,logduration
249,18.2,437,Duane,Zimba,204,1,Swing: with object,0.007142857,1.44,Manual,0.364643114
250,18.2,438,Duane,Zimba,205,1,Object shake,0.473214286,8,Manual,2.079441542
251,18.2,438,Duane,Zimba,206,1,Object shake,0.473214286,1.76,Manual,0.565313809
252,18.2,442,Duane,Zimba,207,3,Jump,0.023214286,0.24,Body,-1.427116356
253,18.2,441,Duane,Zimba,207,3,Object shake,0.473214286,7.12,Manual,1.962907725
254,18.2,443,Duane,Zimba,207,3,Wave,0.001785714,0.64,Manual,-0.446287103
255,18.21,446,Duane,Zimba,208,3,Object move,0.082142857,0.64,Manual,-0.446287103
256,18.21,444,Duane,Zimba,208,3,Swing: with object,0.007142857,2.04,Manual,0.712949808
257,18.21,445,Duane,Zimba,208,3,Swing: with object,0.007142857,2.08,Manual,0.732367894
258,18.21,447,Duane,Zimba,209,1,Throw object,0.008928571,0.56,Manual,-0.579818495
259,18.21,449,Duane,Zimba,210,2,Object shake,0.473214286,6.48,Manual,1.86872051
260,18.21,448,Duane,Zimba,210,2,Throw object,0.008928571,0.44,Manual,-0.820980552
261,18.22,450,Duane,Zimba,211,1,Object shake,0.473214286,1.44,Manual,0.364643114
262,18.23,451,Duane,Zimba,212,5,Object move,0.082142857,1.76,Manual,0.565313809
263,18.23,453,Duane,Zimba,212,5,Object move,0.082142857,1.88,Manual,0.631271777
264,18.23,454,Duane,Zimba,212,5,Stomp object/ground,0.042857143,0.28,Manual,-1.272965676
265,18.23,452,Duane,Zimba,212,5,Swing,0.039285714,2.68,Manual,0.985816795
266,18.23,452,Duane,Zimba,212,5,Swing,0.039285714,0.24,Manual,-1.427116356
267,18.23,455,Duane,Zimba,213,2,Object move,0.082142857,1.28,Manual,0.246860078
268,18.23,456,Duane,Zimba,213,2,Swing,0.039285714,0.6,Manual,-0.510825624
269,18.23,457,Duane,Zimba,214,1,Object move,0.082142857,0.64,Manual,-0.446287103
270,18.27,460,Duane,Zimba,216,1,Object shake,0.473214286,0.76,Manual,-0.274436846
271,18.27,461,Duane,Zimba,217,1,Object shake,0.473214286,2.68,Manual,0.985816795
272,18.27,462,Duane,Zimba,218,1,Object shake,0.473214286,1.56,Manual,0.444685821
273,18.28,463,Duane,Zimba,219,1,Swing,0.039285714,3.64,Manual,1.291983682
274,18.28,464,Duane,Zimba,220,2,Object move,0.082142857,3.4,Manual,1.223775432
275,18.28,465,Duane,Zimba,220,2,Object move,0.082142857,0.96,Manual,-0.040821995
276,18.29,466,Duane,Zimba,221,3,Object move,0.082142857,1.92,Manual,0.652325186
277,18.29,467,Duane,Zimba,221,3,Object shake,0.473214286,1.28,Manual,0.246860078
278,18.29,468,Duane,Zimba,221,3,Object shake,0.473214286,2,Manual,0.693147181
279,18.29,469,Duane,Zimba,222,1,Object shake,0.473214286,3.44,Manual,1.235471471
280,18.29,470,Duane,Zimba,223,1,Object shake,0.473214286,5.52,Manual,1.70837786
281,18.37,471,Duane,Zimba,224,1,Object shake,0.473214286,4.72,Manual,1.5518088
282,18.38,472,Duane,Zimba,225,1,Object shake,0.473214286,3.96,Manual,1.376244025
283,18.39,473,Duane,Zimba,226,1,Object move,0.082142857,0.76,Manual,-0.274436846
284,18.43,475,Duane,Zimba,228,1,Object shake,0.473214286,5.48,Manual,1.701105101
285,18.43,476,Duane,Zimba,229,1,Object shake,0.473214286,3.52,Manual,1.25846099
286,18.44,477,Duane,Zimba,230,2,Object shake,0.473214286,5.28,Manual,1.663926098
287,18.44,478,Duane,Zimba,230,2,Swing,0.039285714,0.44,Manual,-0.820980552
288,18.46,479,Duane,Zimba,231,1,Object move,0.082142857,1.04,Manual,0.039220713
289,18.46,480,Duane,Zimba,232,1,Object shake,0.473214286,5.52,Manual,1.70837786
290,23.18,1189,Musa,Wilma,234,1,Leaf clipping,0.0625,6.52,Manual,1.874874376
291,25.222,1289,Kwezi,Bahati,235,2,Hit object/ground,0.082142857,0.28,Manual,-1.272965676
292,25.222,1288,Kwezi,Bahati,235,2,Object shake,0.473214286,2,Manual,0.693147181
293,25.222,1291,Kwezi,Bahati,236,3,Hit object/ground,0.082142857,0.4,Manual,-0.916290732
